110年12月30日 三大法人日交易資訊(含普通股、鉅額、零股、綜合帳戶之投信買賣成交量)依股票代碼排序
代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"00679B","元大美債20年","51,140","761,000","-709,860","0","0","0","51,140","761,000","-709,860","0","0","0","0","0","0","0","318,000","-318,000","0","318,000","-318,000","-1,027,860"
"00687B","國泰20年美債","1,000","7,000","-6,000","0","0","0","1,000","7,000","-6,000","0","0","0","0","0","0","52,000","76,000","-24,000","52,000","76,000","-24,000","-30,000"
"00694B","富邦美債1-3","0","21,000","-21,000","0","0","0","0","21,000","-21,000","0","0","0","0","0","0","121,000","100,000","21,000","121,000","100,000","21,000","0"
"00695B","富邦美債7-10","0","4,000","-4,000","0","0","0","0","4,000","-4,000","0","0","0","0","0","0","109,000","100,000","9,000","109,000","100,000","9,000","5,000"
"00696B","富邦美債20年","0","130,000","-130,000","0","0","0","0","130,000","-130,000","0","0","0","0","0","0","100,000","120,000","-20,000","100,000","120,000","-20,000","-150,000"
"00697B","元大美債7-10","0","7,000","-7,000","0","0","0","0","7,000","-7,000","0","0","0","0","0","0","120,000","129,000","-9,000","120,000","129,000","-9,000","-16,000"
"00718B","富邦中國政策債","7,000","0","7,000","0","0","0","7,000","0","7,000","0","0","0","0","0","0","157,000","150,000","7,000","157,000","150,000","7,000","14,000"
"00719B","元大美債1-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"1240","茂生農經","1,000","2,000","-1,000","0","0","0","1,000","2,000","-1,000","0","0","0","0","0","0","0","0","0","0","0","0","-1,000"
"1258","其祥-KY","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","0","0","0","0","0","0","-1,000"
