"110年11月30日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="020008","元大特股高息N","19,000","6","240,690","12.67","12.68","12.66","12.68","+","0.02","12.65","100","12.66","100","0.00",
="020011","統一微波高息20N","5,000","3","33,990","6.80","6.80","6.79","6.79","+","0.01","6.76","493","6.77","281","0.00",
="020012","富邦行動通訊N","33,000","6","214,190","6.50","6.50","6.48","6.48","+","0.07","6.40","100","6.41","100","0.00",
="020015","統一MSCI美低波N","0","0","0","--","--","--","--"," ","0.00","15.37","499","15.39","280","0.00",
="020016","統一MSCI美科技N","5,000","3","109,650","21.93","21.93","21.93","21.93","+","0.31","21.84","492","21.86","281","0.00",
="020018","統一價值成長30N","28,000","6","517,100","18.50","18.50","18.37","18.37","+","0.19","18.34","492","18.36","286","0.00",
="020019","統一特選台灣5GN","12,000","7","179,580","14.89","15.01","14.88","14.88","+","0.10","14.86","499","14.88","283","0.00",
="02001L","富邦蘋果正二N","31,000","2","317,420","10.22","10.24","10.22","10.24","+","0.17","10.13","10","10.14","10","0.00",
="02001R","富邦蘋果反一N","2,000","1","6,160","3.08","3.08","3.08","3.08","-","0.02","3.09","10","3.10","10","0.00",
="020020","元大台股領航N","314,000","97","2,298,580","7.28","7.38","7.27","7.28","+","0.01","7.27","100","7.28","90","0.00",

